filter, NONE
,50, 100, 200, 400
functions,100, 200, 400, 800
functions (shared),66, 91, 106, 107
10000,59.31305533333333, 70.98999966666666, 93.10956933333334, 102.025292
100000,444.1031943333333, 662.3145966666667, 850.5794163333334, 947.593389
500000,2182.917569333333, 3236.2796806666665, 4408.053638666667, 4861.8538610000005
1000000,4355.866263333333, 6362.4469309999995, 8785.110972, 9695.798388666666
2000000,8756.617597333332, 12789.565916666666, 17600.241486000003, 19423.227806
5000000,21842.141985666665, 31814.19526366667, 44127.063097000006, 48514.32944466666
