filter,MATCHONCE(AgeCategory != '50-65' && Gender == 'V')
,50, 100, 200, 400
functions,150, 300, 600, 1200
functions (shared),61, 97, 107, 108
10000,7.9867083333333335, 17.771291666666666, 14.810430666666667, 16.883097333333335
100000,71.78456899999999, 73.548222, 80.40168066666666, 86.672986
500000,271.98820866666665, 368.13818066666664, 406.927264, 453.0569026666667
1000000,576.4294583333334, 788.6915553333333, 856.5237913333334, 954.2624996666667
2000000,1173.2407636666667, 1620.4016526666667, 1762.8521110000001, 1958.513264
5000000,2993.1880136666664, 4037.764389, 4400.4172223333335, 4894.716334
