filter,MATCHONCE(AgeCategory == '18-29' && Gender != 'M')
,50, 100, 200, 400
functions,150, 300, 600, 1200
functions (shared),72, 97, 106, 108
10000,5.306639, 2.5122363333333335, 3.2568053333333338, 4.371236
100000,29.313889, 33.253583666666664, 32.326056, 32.383916666666664
500000,150.91083333333333, 154.62695866666664, 149.63408366666667, 151.39205566666666
1000000,301.62025, 304.90381966666666, 303.9885, 304.87562499999996
2000000,620.729236, 624.547361, 624.2755833333334, 624.1753749999999
5000000,1527.7547779999998, 1529.1310693333335, 1528.0057636666668, 1524.7499163333334
