filter,MATCHONCE(DocumentType == 'EC Purchase order' && ItemCategory != '3-way match, invoice before GR')
,50, 100, 200, 400
functions,150, 300, 600, 1200
functions (shared),39, 41, 41, 41
10000,2.5139026666666666, 2.8594303333333335, 3.878166333333333, 5.472735666666666
100000,23.721333666666666, 28.26733333333333, 45.069583333333334, 37.37059733333333
500000,129.63669466666667, 133.312764, 132.73380533333332, 148.66970866666668
1000000,240.989153, 250.57233333333332, 255.44390266666667, 279.676264
