filter,MATCHONCE(AgeCategory == '18-29' && Gender != 'M')
,50, 100, 200, 400
functions,100, 200, 400, 800
functions (shared),51, 101, 201, 401
10000,5.535931000000001, 2.655222333333333, 3.479514, 5.047986333333333
100000,33.85254166666667, 37.762999666666666, 32.666778, 33.428374999999996
500000,151.619125, 153.2788886666667, 149.565125, 149.9655
1000000,299.815639, 298.70729166666666, 302.23975, 303.88522233333333
2000000,606.545389, 602.785125, 600.4516253333334, 607.725528
5000000,1511.8896666666667, 1515.5105276666666, 1518.4471666666668, 1519.9593746666667
