filter, NONE
,50, 100, 200, 400
functions,50, 100, 200, 400
functions (shared),50, 100, 200, 400
10000,63.039221999999995, 129.95472199999998, 287.8682363333333, 499.20899966666667
100000,561.9900136666666, 1239.2209443333334, 2431.1964306666664, 4984.962874666667
500000,2872.153944333333, 6434.698402666666, 12479.528222333334, 24822.355416333332
1000000,5721.263527666667, 12834.427291333333, 24926.049180666665, 49663.90822233333
2000000,11476.675472333334, 25723.746944666666, 50020.16795833333, 99549.56487533334
5000000,28768.601124666664, 64461.202541666666, 125327.66600000001, 249412.51095833335
