filter, NONE
,50, 100, 200, 400
functions,100, 200, 400, 800
functions (shared),66, 92, 104, 107
10000,53.78345866666667, 82.68770833333333, 91.035986, 99.69231966666666
100000,469.66875, 728.1608193333333, 869.115847, 954.1656666666667
500000,2233.041583333333, 3472.5999583333337, 4173.417444333333, 4481.272180666667
1000000,4407.886749666667, 6853.717083666666, 8237.484305333333, 8849.489125333334
2000000,8831.717931, 13701.215263666667, 16342.285736333333, 17476.854958666667
5000000,21982.036278, 33990.92804133333, 40757.641374666666, 43122.99127766667
