filter,MATCHONCE(AgeCategory == '50-65' && Gender != 'V')
,50, 100, 200, 400
functions,150, 300, 600, 1200
functions (shared),68, 91, 104, 108
10000,33.773389, 30.101527333333333, 36.765458333333335, 46.015222333333334
100000,182.89668066666664, 236.25668066666665, 303.841611, 351.210347
500000,725.612736, 989.6638613333334, 1196.5677776666666, 1342.0589306666668
1000000,1378.3581386666667, 1843.678541666667, 2226.6152363333335, 2405.284139
2000000,2639.882152333333, 3489.3752499999996, 4177.105083333333, 4453.573055666667
5000000,6540.621152666667, 8619.079527333333, 10305.340569333333, 10855.521236
