filter,MATCHONCE(AgeCategory == '40-49' && Gender != 'M')
,50, 100, 200, 400
functions,150, 300, 600, 1200
functions (shared),66, 87, 104, 108
10000,13.349333333333334, 17.21143066666667, 25.887763666666668, 33.859541666666665
100000,109.41594466666668, 139.283111, 178.78812466666668, 214.396597
500000,464.46476366666667, 588.7889583333334, 742.604875, 827.2242916666668
1000000,947.1456109999999, 1176.281931, 1450.4489726666664, 1615.2002499999999
2000000,1947.2511806666669, 2431.4035416666666, 2990.3426806666666, 3262.5225416666667
5000000,4839.644791, 6050.752777999999, 7372.608861000001, 7911.474291666666
