filter,MATCHONCE(AgeCategory != '30-39' && Gender == 'V')
,50, 100, 200, 400
functions,150, 300, 600, 1200
functions (shared),65, 90, 104, 108
10000,30.438610999999998, 46.370555333333336, 64.29794433333333, 86.00954166666666
100000,242.9210556666667, 351.446125, 465.32852766666673, 579.006833
500000,1090.1384303333334, 1561.4396386666667, 1968.4900276666667, 2287.512430333333
1000000,2193.740458333333, 3098.5950696666664, 3786.8813056666663, 4324.535389
2000000,4355.038486333334, 6105.976708333333, 7463.508569333334, 8413.81675
5000000,10667.346806, 14896.392930666667, 18201.928069, 20287.32
