filter,MATCHONCE(DocumentType == 'Standard PO' && ItemCategory != '3-way match, invoice before GR')
,50, 100, 200, 400
functions,100, 200, 400, 800
functions (shared),51, 101, 201, 401
10000,36.88644433333334, 65.39601433333333, 125.76712533333334, 247.18886066666667
100000,276.2130696666666, 532.5969306666667, 1000.2370273333332, 1960.6726803333333
500000,1166.298125, 2161.5920693333333, 4026.804361, 7955.645694666667
1000000,2262.2795276666666, 4208.131819333333, 7947.793819666666, 15473.771291666666
